# Z(asl) Density   Pressure   Temperature Specific-humidity  Wind-velocity       Wind-velocity
#  (km)  (kg/m^3)    (hPa)        (K)          (g/kg)       West->East(m/s)    North->South(m/s)
  1.000   1.061    892.810      293.165        15.015           -6.904              -10.138
  1.500	  1.011    843.634 	290.493        13.492 	        -6.252	            -9.703
  2.000   0.962    794.457      287.820        11.968           -5.600              -9.268
  3.000   0.867    705.478      283.404        10.173           -3.669              -7.450
  4.000   0.783    625.391      278.221        8.573            -0.117              -3.535
  5.000   0.705    552.607      273.265        6.453             2.285              -0.135
  6.000   0.633    487.740      268.587        4.938             2.669              1.164
  7.000   0.569    429.207      263.017        3.802             2.682              1.984
  8.000   0.511    376.598      256.997        2.822             2.667              2.875
  9.000   0.459    329.377      250.187        1.856             2.942              4.106
  10.000  0.412    286.891      242.557        1.062             3.373              5.575
  11.000  0.369    248.099      234.277        0.537             3.738              7.087
  12.000  0.331    213.975      225.197        0.232             4.396              8.868
  13.000  0.295    183.283      216.553        0.089             6.826              11.405
  14.000  0.260    156.048      208.724        0.038             9.737              13.330
  15.000  0.229    132.172      200.979        0.016            12.074              14.536
  16.000  0.199    111.447      194.860        0.008            13.604              15.486
  17.000  0.169     93.986      193.856        0.006            11.696              13.542
  18.000  0.139     79.061      197.645        0.007             6.810              8.976
  19.000  0.114     66.365      201.971        0.006             3.912              6.277
  20.000  0.095     56.352      206.942        0.007             3.085              5.521
  21.000  0.079     47.905      210.645        0.005             2.983              5.671
  22.000  0.068     41.532      212.673        0.005             3.595              6.626
  23.000  0.057     35.158      214.700        0.005             4.207              7.581
  24.000  0.047     29.409      216.826        0.004             4.859              8.589
  25.000  0.041     25.512      219.246        0.005             5.633              9.758
  26.000  0.034     21.615      221.667        0.004             6.406              10.925
  27.000  0.029     18.827      223.662        0.004             6.981              11.821
  28.000  0.026     16.630      225.432        0.005             7.450              12.571
  29.000  0.022     14.434      227.201        0.005             7.919              13.321
  30.000  0.019     12.237      228.971        0.005             8.388              14.072
  31.000  0.015     10.079      230.778        0.004             8.859              14.826
  32.000  0.013     8.834       233.478        0.004             9.361              15.684
  33.000  0.011     7.589       236.177        0.004             9.864              16.543
  34.000  0.010     6.579       239.492        0.004             9.844              16.649
  35.000  0.008     5.726       243.217        0.004             9.476              16.255
  36.000  0.007     4.944       246.646        0.004             8.986              15.755
  37.000  0.006     4.406       249.051        0.004             8.077              14.891
  38.000  0.005     3.867       251.456        0.004             7.167              14.027
  39.000  0.005     3.329       253.862        0.004             6.257              13.162
  40.000  0.004     2.885       255.444        0.004             6.126              13.241
