# Z(asl) Density   Pressure   Temperature Specific-humidity  Wind-velocity       Wind-velocity
#  (km)  (kg/m^3)    (hPa)        (K)          (g/kg)       West->East(m/s)    North->South(m/s)
  1.400   1.120    863.203 	268.420 	0.992 	        6.567 	          -11.389 
  1.450   1.113    857.733 	268.437 	0.852 	        7.609 	          -12.946 
  1.500   1.104    852.321 	268.755 	0.681 	        8.670 	          -13.947 
  1.600   1.087    841.588 	269.704 	0.233 	       10.684 	          -15.089 
  1.750   1.061    825.770 	271.015 	0.101 	       12.999 	          -14.934 
  1.900   1.040    810.301 	271.475 	0.097 	       15.344 	          -13.576 
  2.000	  1.027    800.189 	271.353 	0.127          16.622 	          -12.535 
  2.200	  1.004    780.223 	270.807 	0.103          18.803 	          -11.177 
  2.400	  0.982    760.739 	269.867 	0.114 	       20.027 	          -10.215 
  2.600   0.962    741.668 	268.598 	0.169 	       20.712 	          -8.872 
  2.800	  0.943    722.986 	267.076 	0.221 	       21.001 	          -7.297 
  3.100	  0.916    695.610 	264.619 	0.279 	       21.589 	          -5.462 
  3.300	  0.898    677.853 	263.047 	0.302 	       22.255 	          -5.175 
  3.600	  0.871    651.812 	260.721 	0.408 	       23.495 	          -5.474 
  3.900	  0.844    626.563 	258.550 	0.499 	       24.951 	          -5.150 
  4.200	  0.816    602.137 	256.980 	0.560 	       26.773 	          -4.730 
  4.500	  0.788    578.580 	255.754 	0.562 	       28.312 	          -4.319 
  4.900	  0.752    548.333 	253.918 	0.535 	       30.496 	          -3.671 
  5.300	  0.717    519.571 	252.394 	0.410 	       33.843 	          -4.092 
  5.600	  0.693    498.804 	250.910 	0.150 	       36.664 	          -5.461 
  6.000	  0.662    472.213 	248.368 	0.047 	       39.585 	          -6.937 
  6.400	  0.633    446.808 	245.953 	0.047 	       41.798 	          -9.256 
  6.900	  0.600    416.601 	242.012 	0.042 	       44.848 	          -9.351 
  7.300	  0.572    393.587 	239.779 	0.030 	       48.063 	          -9.164 
  7.800   0.535    366.511 	238.616 	0.025 	       53.704 	          -10.557 
  8.200	  0.509    346.071 	237.006 	0.051 	       58.970 	          -10.762 
  8.700	  0.475    321.974 	236.356 	0.014 	       67.005 	          -9.837 
  9.300	  0.436    295.203 	235.751 	0.010 	       75.409 	          -9.444 
  9.900	  0.404    270.576 	233.371 	0.015 	       79.554 	          -9.918 
  10.300  0.383    255.053 	231.751 	0.009 	       80.856 	          -10.174 
  10.900  0.354    233.339 	229.808 	0.011 	       84.094 	          -10.146 
  11.500  0.328    213.303 	226.391 	0.010 	       83.153             -9.235 
  12.000  0.308    197.779 	223.889 	0.008 	       81.375 	          -7.610 
  12.700  0.281    177.559 	220.464 	0.006 	       78.113 	          -6.920 
  13.300  0.259    161.712 	217.547 	0.006 	       74.288 	          -5.941 
  14.000  0.235    144.780 	214.166 	0.006 	       69.567 	          -4.471 
  14.600  0.217    131.488 	211.213 	0.006 	       65.736 	          -2.998 
  15.300  0.197    117.300 	207.796 	0.007 	       61.988 	          -1.654 
  16.000  0.178    104.456 	204.371 	0.007 	       59.044 	          -2.029 
  16.700  0.160    92.870 	201.810 	0.007 	       55.504 	          -4.284 
  17.400  0.143    82.500 	200.961 	0.007 	       49.952 	          -5.552 
  18.200  0.123    72.026 	203.479 	0.006 	       41.634 	          -3.623 
  19.000  0.107    63.019 	205.810 	0.006 	       33.761 	          0.475 
  19.800  0.093    55.205 	206.894 	0.005 	       28.029 	          1.900 
  20.600  0.081    48.394 	208.684 	0.005 	       21.719 	          0.728 
  21.400  0.070    42.459 	210.200 	0.005 	       18.509 	          2.246 
  22.200  0.064    37.191 	202.392 	0.005 	       18.507 	          2.246
